start,end,forecast
2020-12-28 00:00:00-05:00,2020-12-28 01:00:00-05:00,66287.0
2020-12-28 01:00:00-05:00,2020-12-28 02:00:00-05:00,64870.0
2020-12-28 02:00:00-05:00,2020-12-28 03:00:00-05:00,64262.0
2020-12-28 03:00:00-05:00,2020-12-28 04:00:00-05:00,64369.0
2020-12-28 04:00:00-05:00,2020-12-28 05:00:00-05:00,65297.0
2020-12-28 05:00:00-05:00,2020-12-28 06:00:00-05:00,67845.0
2020-12-28 06:00:00-05:00,2020-12-28 07:00:00-05:00,72652.0
2020-12-28 07:00:00-05:00,2020-12-28 08:00:00-05:00,78032.0
2020-12-28 08:00:00-05:00,2020-12-28 09:00:00-05:00,80406.0
2020-12-28 09:00:00-05:00,2020-12-28 10:00:00-05:00,80703.0
2020-12-28 10:00:00-05:00,2020-12-28 11:00:00-05:00,80473.0
2020-12-28 11:00:00-05:00,2020-12-28 12:00:00-05:00,79989.0
2020-12-28 12:00:00-05:00,2020-12-28 13:00:00-05:00,79332.0
2020-12-28 13:00:00-05:00,2020-12-28 14:00:00-05:00,78611.0
2020-12-28 14:00:00-05:00,2020-12-28 15:00:00-05:00,77946.0
2020-12-28 15:00:00-05:00,2020-12-28 16:00:00-05:00,77497.0
2020-12-28 16:00:00-05:00,2020-12-28 17:00:00-05:00,78020.0
2020-12-28 17:00:00-05:00,2020-12-28 18:00:00-05:00,80741.0
2020-12-28 18:00:00-05:00,2020-12-28 19:00:00-05:00,84009.0
2020-12-28 19:00:00-05:00,2020-12-28 20:00:00-05:00,84244.0
2020-12-28 20:00:00-05:00,2020-12-28 21:00:00-05:00,83362.0
2020-12-28 21:00:00-05:00,2020-12-28 22:00:00-05:00,81589.0
2020-12-28 22:00:00-05:00,2020-12-28 23:00:00-05:00,78550.0
2020-12-28 23:00:00-05:00,2020-12-29 00:00:00-05:00,74836.0
2020-12-29 00:00:00-05:00,2020-12-29 01:00:00-05:00,71151.0
2020-12-29 01:00:00-05:00,2020-12-29 02:00:00-05:00,69282.0
2020-12-29 02:00:00-05:00,2020-12-29 03:00:00-05:00,68258.0
2020-12-29 03:00:00-05:00,2020-12-29 04:00:00-05:00,67842.0
2020-12-29 04:00:00-05:00,2020-12-29 05:00:00-05:00,68187.0
2020-12-29 05:00:00-05:00,2020-12-29 06:00:00-05:00,69923.0
2020-12-29 06:00:00-05:00,2020-12-29 07:00:00-05:00,73702.0
2020-12-29 07:00:00-05:00,2020-12-29 08:00:00-05:00,78318.0
2020-12-29 08:00:00-05:00,2020-12-29 09:00:00-05:00,80186.0
2020-12-29 09:00:00-05:00,2020-12-29 10:00:00-05:00,80342.0
2020-12-29 10:00:00-05:00,2020-12-29 11:00:00-05:00,80046.0
2020-12-29 11:00:00-05:00,2020-12-29 12:00:00-05:00,79523.0
2020-12-29 12:00:00-05:00,2020-12-29 13:00:00-05:00,78828.0
2020-12-29 13:00:00-05:00,2020-12-29 14:00:00-05:00,78046.0
