start,end,coal,natural_gas,nuclear,hydro,wind,other,total
2020-12-28 00:00:00-05:00,2020-12-28 01:00:00-05:00,22426.0,13467.4,11536.5,693.0,12687.8,897.0,61707.7
2020-12-28 01:00:00-05:00,2020-12-28 02:00:00-05:00,21925.7,13187.0,11536.0,670.9,12465.8,900.5,60685.9
2020-12-28 02:00:00-05:00,2020-12-28 03:00:00-05:00,21184.8,12483.7,11534.2,640.6,12795.0,904.7,59543.0
2020-12-28 03:00:00-05:00,2020-12-28 04:00:00-05:00,21024.8,12896.3,11531.5,634.8,12510.8,904.4,59502.6
2020-12-28 04:00:00-05:00,2020-12-28 05:00:00-05:00,21127.0,13431.5,11529.9,636.4,11786.8,903.2,59414.8
2020-12-28 05:00:00-05:00,2020-12-28 06:00:00-05:00,21518.0,14613.9,11529.6,652.9,11189.2,913.0,60416.6
2020-12-28 06:00:00-05:00,2020-12-28 07:00:00-05:00,23497.7,16531.3,11534.3,602.6,10372.3,939.8,63478.0
2020-12-28 07:00:00-05:00,2020-12-28 08:00:00-05:00,26782.4,17909.3,11534.1,627.3,9459.0,1025.7,67337.8
2020-12-28 08:00:00-05:00,2020-12-28 09:00:00-05:00,29314.2,18703.9,11536.6,721.8,8886.6,1087.9,70251.0
2020-12-28 09:00:00-05:00,2020-12-28 10:00:00-05:00,30696.4,19552.1,11537.6,780.3,7762.3,1180.7,71509.4
2020-12-28 10:00:00-05:00,2020-12-28 11:00:00-05:00,31294.0,19816.9,11533.4,1411.7,6307.2,1249.1,71612.3
2020-12-28 11:00:00-05:00,2020-12-28 12:00:00-05:00,31811.3,20363.2,11538.7,885.5,5811.7,1295.9,71706.3
2020-12-28 12:00:00-05:00,2020-12-28 13:00:00-05:00,31975.1,20002.5,11539.3,708.2,5732.1,1345.2,71302.4
2020-12-28 13:00:00-05:00,2020-12-28 14:00:00-05:00,31266.9,19394.1,11538.4,694.7,6415.2,1324.0,70633.3
2020-12-28 14:00:00-05:00,2020-12-28 15:00:00-05:00,30582.4,19268.4,11533.7,689.4,6722.8,1278.9,70075.6
2020-12-28 15:00:00-05:00,2020-12-28 16:00:00-05:00,29950.9,19168.2,11537.6,706.6,6754.2,1210.6,69328.1
