start,end,load
2020-12-28 00:00:00-05:00,2020-12-28 01:00:00-05:00,65021.14
2020-12-28 01:00:00-05:00,2020-12-28 02:00:00-05:00,63556.09
2020-12-28 02:00:00-05:00,2020-12-28 03:00:00-05:00,62787.15
2020-12-28 03:00:00-05:00,2020-12-28 04:00:00-05:00,62892.07
2020-12-28 04:00:00-05:00,2020-12-28 05:00:00-05:00,63655.32
2020-12-28 05:00:00-05:00,2020-12-28 06:00:00-05:00,65879.7
2020-12-28 06:00:00-05:00,2020-12-28 07:00:00-05:00,69399.35
2020-12-28 07:00:00-05:00,2020-12-28 08:00:00-05:00,74055.59
2020-12-28 08:00:00-05:00,2020-12-28 09:00:00-05:00,76953.5
2020-12-28 09:00:00-05:00,2020-12-28 10:00:00-05:00,78146.92
2020-12-28 10:00:00-05:00,2020-12-28 11:00:00-05:00,78458.1
2020-12-28 11:00:00-05:00,2020-12-28 12:00:00-05:00,78519.88
2020-12-28 12:00:00-05:00,2020-12-28 13:00:00-05:00,78078.04
2020-12-28 13:00:00-05:00,2020-12-28 14:00:00-05:00,77357.86
2020-12-28 14:00:00-05:00,2020-12-28 15:00:00-05:00,76771.66
2020-12-28 15:00:00-05:00,2020-12-28 16:00:00-05:00,76087.64
2020-12-28 16:00:00-05:00,2020-12-28 17:00:00-05:00,76368.37
2020-12-28 17:00:00-05:00,2020-12-28 18:00:00-05:00,78665.92
2020-12-28 18:00:00-05:00,2020-12-28 19:00:00-05:00,81987.82
2020-12-28 19:00:00-05:00,2020-12-28 20:00:00-05:00,82342.3
2020-12-28 20:00:00-05:00,2020-12-28 21:00:00-05:00,80941.4
2020-12-28 21:00:00-05:00,2020-12-28 22:00:00-05:00,79201.71
2020-12-28 22:00:00-05:00,2020-12-28 23:00:00-05:00,76495.39
2020-12-28 23:00:00-05:00,2020-12-29 00:00:00-05:00,73407.12
2020-12-29 00:00:00-05:00,2020-12-29 01:00:00-05:00,70695.18
2020-12-29 01:00:00-05:00,2020-12-29 02:00:00-05:00,68937.17
2020-12-29 02:00:00-05:00,2020-12-29 03:00:00-05:00,68077.76
2020-12-29 03:00:00-05:00,2020-12-29 04:00:00-05:00,67810.09
2020-12-29 04:00:00-05:00,2020-12-29 05:00:00-05:00,68377.99
2020-12-29 05:00:00-05:00,2020-12-29 06:00:00-05:00,70195.11
2020-12-29 06:00:00-05:00,2020-12-29 07:00:00-05:00,73750.0
2020-12-29 07:00:00-05:00,2020-12-29 08:00:00-05:00,77771.41
2020-12-29 08:00:00-05:00,2020-12-29 09:00:00-05:00,80382.23
2020-12-29 09:00:00-05:00,2020-12-29 10:00:00-05:00,80990.54
2020-12-29 10:00:00-05:00,2020-12-29 11:00:00-05:00,80923.12
2020-12-29 11:00:00-05:00,2020-12-29 12:00:00-05:00,80759.77
2020-12-29 12:00:00-05:00,2020-12-29 13:00:00-05:00,80270.86
2020-12-29 13:00:00-05:00,2020-12-29 14:00:00-05:00,79775.33
2020-12-29 14:00:00-05:00,2020-12-29 15:00:00-05:00,79391.52
2020-12-29 15:00:00-05:00,2020-12-29 16:00:00-05:00,78692.51
2020-12-29 16:00:00-05:00,2020-12-29 17:00:00-05:00,78840.06
2020-12-29 17:00:00-05:00,2020-12-29 18:00:00-05:00,80818.38
2020-12-29 18:00:00-05:00,2020-12-29 19:00:00-05:00,82901.84
2020-12-29 19:00:00-05:00,2020-12-29 20:00:00-05:00,82380.56
2020-12-29 20:00:00-05:00,2020-12-29 21:00:00-05:00,80797.32
2020-12-29 21:00:00-05:00,2020-12-29 22:00:00-05:00,78595.2
2020-12-29 22:00:00-05:00,2020-12-29 23:00:00-05:00,75340.95
2020-12-29 23:00:00-05:00,2020-12-30 00:00:00-05:00,71878.34
2020-12-30 00:00:00-05:00,2020-12-30 01:00:00-05:00,68846.25
2020-12-30 01:00:00-05:00,2020-12-30 02:00:00-05:00,66582.41
2020-12-30 02:00:00-05:00,2020-12-30 03:00:00-05:00,65119.46
2020-12-30 03:00:00-05:00,2020-12-30 04:00:00-05:00,64246.19
2020-12-30 04:00:00-05:00,2020-12-30 05:00:00-05:00,64009.68
2020-12-30 05:00:00-05:00,2020-12-30 06:00:00-05:00,65417.54
2020-12-30 06:00:00-05:00,2020-12-30 07:00:00-05:00,68075.75
2020-12-30 07:00:00-05:00,2020-12-30 08:00:00-05:00,71441.04
2020-12-30 08:00:00-05:00,2020-12-30 09:00:00-05:00,73733.03
2020-12-30 09:00:00-05:00,2020-12-30 10:00:00-05:00,75025.23
2020-12-30 10:00:00-05:00,2020-12-30 11:00:00-05:00,76044.34
2020-12-30 11:00:00-05:00,2020-12-30 12:00:00-05:00,76700.12
2020-12-30 12:00:00-05:00,2020-12-30 13:00:00-05:00,76941.95
2020-12-30 13:00:00-05:00,2020-12-30 14:00:00-05:00,76832.91
2020-12-30 14:00:00-05:00,2020-12-30 15:00:00-05:00,76569.08
2020-12-30 15:00:00-05:00,2020-12-30 16:00:00-05:00,76088.49
2020-12-30 16:00:00-05:00,2020-12-30 17:00:00-05:00,76439.99
2020-12-30 17:00:00-05:00,2020-12-30 18:00:00-05:00,78343.99
2020-12-30 18:00:00-05:00,2020-12-30 19:00:00-05:00,80557.3
2020-12-30 19:00:00-05:00,2020-12-30 20:00:00-05:00,80041.24
2020-12-30 20:00:00-05:00,2020-12-30 21:00:00-05:00,78767.25
2020-12-30 21:00:00-05:00,2020-12-30 22:00:00-05:00,76953.55
2020-12-30 22:00:00-05:00,2020-12-30 23:00:00-05:00,74198.33
2020-12-30 23:00:00-05:00,2020-12-31 00:00:00-05:00,71109.76
2020-12-31 00:00:00-05:00,2020-12-31 01:00:00-05:00,68543.75
2020-12-31 01:00:00-05:00,2020-12-31 02:00:00-05:00,66517.22
2020-12-31 02:00:00-05:00,2020-12-31 03:00:00-05:00,65364.28
2020-12-31 03:00:00-05:00,2020-12-31 04:00:00-05:00,64786.93
2020-12-31 04:00:00-05:00,2020-12-31 05:00:00-05:00,65073.41
2020-12-31 05:00:00-05:00,2020-12-31 06:00:00-05:00,66068.23
2020-12-31 06:00:00-05:00,2020-12-31 07:00:00-05:00,68492.15
2020-12-31 07:00:00-05:00,2020-12-31 08:00:00-05:00,71805.42
2020-12-31 08:00:00-05:00,2020-12-31 09:00:00-05:00,74212.66
2020-12-31 09:00:00-05:00,2020-12-31 10:00:00-05:00,75849.45
2020-12-31 10:00:00-05:00,2020-12-31 11:00:00-05:00,76941.78
2020-12-31 11:00:00-05:00,2020-12-31 12:00:00-05:00,77346.87
2020-12-31 12:00:00-05:00,2020-12-31 13:00:00-05:00,76725.84
2020-12-31 13:00:00-05:00,2020-12-31 14:00:00-05:00,75767.42
2020-12-31 14:00:00-05:00,2020-12-31 15:00:00-05:00,75028.33
