start,end,load
2024-02-09 00:00:00-05:00,2024-02-09 00:05:00-05:00,64835.0
2024-02-09 00:05:00-05:00,2024-02-09 00:10:00-05:00,64855.0
2024-02-09 00:10:00-05:00,2024-02-09 00:15:00-05:00,64923.0
2024-02-09 00:15:00-05:00,2024-02-09 00:20:00-05:00,64945.0
2024-02-09 00:20:00-05:00,2024-02-09 00:25:00-05:00,64579.0
2024-02-09 00:25:00-05:00,2024-02-09 00:30:00-05:00,64251.0
2024-02-09 00:30:00-05:00,2024-02-09 00:35:00-05:00,63869.0
2024-02-09 00:35:00-05:00,2024-02-09 00:40:00-05:00,63752.0
2024-02-09 00:40:00-05:00,2024-02-09 00:45:00-05:00,63514.0
2024-02-09 00:45:00-05:00,2024-02-09 00:50:00-05:00,63207.0
2024-02-09 00:50:00-05:00,2024-02-09 00:55:00-05:00,63108.0
2024-02-09 00:55:00-05:00,2024-02-09 01:00:00-05:00,63113.0
2024-02-09 01:00:00-05:00,2024-02-09 01:05:00-05:00,63107.0
2024-02-09 01:05:00-05:00,2024-02-09 01:10:00-05:00,62771.0
2024-02-09 01:10:00-05:00,2024-02-09 01:15:00-05:00,62780.0
2024-02-09 01:15:00-05:00,2024-02-09 01:20:00-05:00,62683.0
2024-02-09 01:20:00-05:00,2024-02-09 01:25:00-05:00,62698.0
2024-02-09 01:25:00-05:00,2024-02-09 01:30:00-05:00,62480.0
2024-02-09 01:30:00-05:00,2024-02-09 01:35:00-05:00,62205.0
2024-02-09 01:35:00-05:00,2024-02-09 01:40:00-05:00,62191.0
2024-02-09 01:40:00-05:00,2024-02-09 01:45:00-05:00,62063.0
2024-02-09 01:45:00-05:00,2024-02-09 01:50:00-05:00,61778.0
2024-02-09 01:50:00-05:00,2024-02-09 01:55:00-05:00,61647.0
2024-02-09 01:55:00-05:00,2024-02-09 02:00:00-05:00,61414.0
2024-02-09 02:00:00-05:00,2024-02-09 02:05:00-05:00,61432.0
2024-02-09 02:05:00-05:00,2024-02-09 02:10:00-05:00,61465.0
2024-02-09 02:10:00-05:00,2024-02-09 02:15:00-05:00,61444.0
2024-02-09 02:15:00-05:00,2024-02-09 02:20:00-05:00,61167.0
2024-02-09 02:20:00-05:00,2024-02-09 02:25:00-05:00,61033.0
2024-02-09 02:25:00-05:00,2024-02-09 02:30:00-05:00,61017.0
2024-02-09 02:30:00-05:00,2024-02-09 02:35:00-05:00,60886.0
2024-02-09 02:35:00-05:00,2024-02-09 02:40:00-05:00,60856.0
2024-02-09 02:40:00-05:00,2024-02-09 02:45:00-05:00,61130.0
2024-02-09 02:45:00-05:00,2024-02-09 02:50:00-05:00,60949.0
2024-02-09 02:50:00-05:00,2024-02-09 02:55:00-05:00,60916.0
2024-02-09 02:55:00-05:00,2024-02-09 03:00:00-05:00,60841.0
2024-02-09 03:00:00-05:00,2024-02-09 03:05:00-05:00,60972.0
2024-02-09 03:05:00-05:00,2024-02-09 03:10:00-05:00,60980.0
2024-02-09 03:10:00-05:00,2024-02-09 03:15:00-05:00,60839.0
2024-02-09 03:15:00-05:00,2024-02-09 03:20:00-05:00,60716.0
2024-02-09 03:20:00-05:00,2024-02-09 03:25:00-05:00,60581.0
2024-02-09 03:25:00-05:00,2024-02-09 03:30:00-05:00,60477.0
2024-02-09 03:30:00-05:00,2024-02-09 03:35:00-05:00,60370.0
2024-02-09 03:35:00-05:00,2024-02-09 03:40:00-05:00,60451.0
2024-02-09 03:40:00-05:00,2024-02-09 03:45:00-05:00,60604.0
2024-02-09 03:45:00-05:00,2024-02-09 03:50:00-05:00,60783.0
2024-02-09 03:50:00-05:00,2024-02-09 03:55:00-05:00,60575.0
2024-02-09 03:55:00-05:00,2024-02-09 04:00:00-05:00,60579.0
2024-02-09 04:00:00-05:00,2024-02-09 04:05:00-05:00,60523.0
2024-02-09 04:05:00-05:00,2024-02-09 04:10:00-05:00,60531.0
2024-02-09 04:10:00-05:00,2024-02-09 04:15:00-05:00,60615.0
2024-02-09 04:15:00-05:00,2024-02-09 04:20:00-05:00,60574.0
2024-02-09 04:20:00-05:00,2024-02-09 04:25:00-05:00,60963.0
2024-02-09 04:25:00-05:00,2024-02-09 04:30:00-05:00,61103.0
2024-02-09 04:30:00-05:00,2024-02-09 04:35:00-05:00,60977.0
2024-02-09 04:35:00-05:00,2024-02-09 04:40:00-05:00,61068.0
2024-02-09 04:40:00-05:00,2024-02-09 04:45:00-05:00,61160.0
2024-02-09 04:45:00-05:00,2024-02-09 04:50:00-05:00,61072.0
2024-02-09 04:50:00-05:00,2024-02-09 04:55:00-05:00,60954.0
2024-02-09 04:55:00-05:00,2024-02-09 05:00:00-05:00,60905.0
2024-02-09 05:00:00-05:00,2024-02-09 05:05:00-05:00,61388.0
2024-02-09 05:05:00-05:00,2024-02-09 05:10:00-05:00,61661.0
2024-02-09 05:10:00-05:00,2024-02-09 05:15:00-05:00,61922.0
2024-02-09 05:15:00-05:00,2024-02-09 05:20:00-05:00,62178.0
2024-02-09 05:20:00-05:00,2024-02-09 05:25:00-05:00,62384.0
2024-02-09 05:25:00-05:00,2024-02-09 05:30:00-05:00,62376.0
2024-02-09 05:30:00-05:00,2024-02-09 05:35:00-05:00,62549.0
2024-02-09 05:35:00-05:00,2024-02-09 05:40:00-05:00,62538.0
2024-02-09 05:40:00-05:00,2024-02-09 05:45:00-05:00,63004.0
2024-02-09 05:45:00-05:00,2024-02-09 05:50:00-05:00,63199.0
2024-02-09 05:50:00-05:00,2024-02-09 05:55:00-05:00,63256.0
2024-02-09 05:55:00-05:00,2024-02-09 06:00:00-05:00,63587.0
2024-02-09 06:00:00-05:00,2024-02-09 06:05:00-05:00,63724.0
2024-02-09 06:05:00-05:00,2024-02-09 06:10:00-05:00,64205.0
2024-02-09 06:10:00-05:00,2024-02-09 06:15:00-05:00,65072.0
2024-02-09 06:15:00-05:00,2024-02-09 06:20:00-05:00,65500.0
2024-02-09 06:20:00-05:00,2024-02-09 06:25:00-05:00,65863.0
2024-02-09 06:25:00-05:00,2024-02-09 06:30:00-05:00,66134.0
2024-02-09 06:30:00-05:00,2024-02-09 06:35:00-05:00,66280.0
2024-02-09 06:35:00-05:00,2024-02-09 06:40:00-05:00,66365.0
2024-02-09 06:40:00-05:00,2024-02-09 06:45:00-05:00,66771.0
2024-02-09 06:45:00-05:00,2024-02-09 06:50:00-05:00,67093.0
2024-02-09 06:50:00-05:00,2024-02-09 06:55:00-05:00,67558.0
2024-02-09 06:55:00-05:00,2024-02-09 07:00:00-05:00,68148.0
2024-02-09 07:00:00-05:00,2024-02-09 07:05:00-05:00,68746.0
2024-02-09 07:05:00-05:00,2024-02-09 07:10:00-05:00,69148.0
2024-02-09 07:10:00-05:00,2024-02-09 07:15:00-05:00,69593.0
2024-02-09 07:15:00-05:00,2024-02-09 07:20:00-05:00,70170.0
2024-02-09 07:20:00-05:00,2024-02-09 07:25:00-05:00,70287.0
2024-02-09 07:25:00-05:00,2024-02-09 07:30:00-05:00,70424.0
2024-02-09 07:30:00-05:00,2024-02-09 07:35:00-05:00,70711.0
2024-02-09 07:35:00-05:00,2024-02-09 07:40:00-05:00,71478.0
2024-02-09 07:40:00-05:00,2024-02-09 07:45:00-05:00,71883.0
2024-02-09 07:45:00-05:00,2024-02-09 07:50:00-05:00,72115.0
2024-02-09 07:50:00-05:00,2024-02-09 07:55:00-05:00,72352.0
2024-02-09 07:55:00-05:00,2024-02-09 08:00:00-05:00,72419.0
2024-02-09 08:00:00-05:00,2024-02-09 08:05:00-05:00,72685.0
2024-02-09 08:05:00-05:00,2024-02-09 08:10:00-05:00,72707.0
2024-02-09 08:10:00-05:00,2024-02-09 08:15:00-05:00,72980.0
2024-02-09 08:15:00-05:00,2024-02-09 08:20:00-05:00,73264.0
2024-02-09 08:20:00-05:00,2024-02-09 08:25:00-05:00,73223.0
2024-02-09 08:25:00-05:00,2024-02-09 08:30:00-05:00,73159.0
2024-02-09 08:30:00-05:00,2024-02-09 08:35:00-05:00,72995.0
2024-02-09 08:35:00-05:00,2024-02-09 08:40:00-05:00,73069.0
2024-02-09 08:40:00-05:00,2024-02-09 08:45:00-05:00,73052.0
2024-02-09 08:45:00-05:00,2024-02-09 08:50:00-05:00,73194.0
2024-02-09 08:50:00-05:00,2024-02-09 08:55:00-05:00,73150.0
2024-02-09 08:55:00-05:00,2024-02-09 09:00:00-05:00,73187.0
2024-02-09 09:00:00-05:00,2024-02-09 09:05:00-05:00,73187.0
2024-02-09 09:05:00-05:00,2024-02-09 09:10:00-05:00,73351.0
2024-02-09 09:10:00-05:00,2024-02-09 09:15:00-05:00,73251.0
2024-02-09 09:15:00-05:00,2024-02-09 09:20:00-05:00,72897.0
2024-02-09 09:20:00-05:00,2024-02-09 09:25:00-05:00,73021.0
2024-02-09 09:25:00-05:00,2024-02-09 09:30:00-05:00,73136.0
2024-02-09 09:30:00-05:00,2024-02-09 09:35:00-05:00,73125.0
2024-02-09 09:35:00-05:00,2024-02-09 09:40:00-05:00,73045.0
2024-02-09 09:40:00-05:00,2024-02-09 09:45:00-05:00,72958.0
2024-02-09 09:45:00-05:00,2024-02-09 09:50:00-05:00,72935.0
2024-02-09 09:50:00-05:00,2024-02-09 09:55:00-05:00,73103.0
2024-02-09 09:55:00-05:00,2024-02-09 10:00:00-05:00,72928.0
2024-02-09 10:00:00-05:00,2024-02-09 10:05:00-05:00,72939.0
2024-02-09 10:05:00-05:00,2024-02-09 10:10:00-05:00,72916.0
2024-02-09 10:10:00-05:00,2024-02-09 10:15:00-05:00,72659.0
2024-02-09 10:15:00-05:00,2024-02-09 10:20:00-05:00,72613.0
2024-02-09 10:20:00-05:00,2024-02-09 10:25:00-05:00,72857.0
2024-02-09 10:25:00-05:00,2024-02-09 10:30:00-05:00,72835.0
2024-02-09 10:30:00-05:00,2024-02-09 10:35:00-05:00,72961.0
2024-02-09 10:35:00-05:00,2024-02-09 10:40:00-05:00,72702.0
2024-02-09 10:40:00-05:00,2024-02-09 10:45:00-05:00,72543.0
2024-02-09 10:45:00-05:00,2024-02-09 10:50:00-05:00,72590.0
2024-02-09 10:50:00-05:00,2024-02-09 10:55:00-05:00,72653.0
2024-02-09 10:55:00-05:00,2024-02-09 11:00:00-05:00,72802.0
2024-02-09 11:00:00-05:00,2024-02-09 11:05:00-05:00,72955.0
2024-02-09 11:05:00-05:00,2024-02-09 11:10:00-05:00,72809.0
2024-02-09 11:10:00-05:00,2024-02-09 11:15:00-05:00,72843.0
2024-02-09 11:15:00-05:00,2024-02-09 11:20:00-05:00,72957.0
2024-02-09 11:20:00-05:00,2024-02-09 11:25:00-05:00,72841.0
2024-02-09 11:25:00-05:00,2024-02-09 11:30:00-05:00,72740.0
2024-02-09 11:30:00-05:00,2024-02-09 11:35:00-05:00,72501.0
2024-02-09 11:35:00-05:00,2024-02-09 11:40:00-05:00,72558.0
2024-02-09 11:40:00-05:00,2024-02-09 11:45:00-05:00,72332.0
2024-02-09 11:45:00-05:00,2024-02-09 11:50:00-05:00,72315.0
2024-02-09 11:50:00-05:00,2024-02-09 11:55:00-05:00,72473.0
2024-02-09 11:55:00-05:00,2024-02-09 12:00:00-05:00,72339.0
2024-02-09 12:00:00-05:00,2024-02-09 12:05:00-05:00,72360.0
2024-02-09 12:05:00-05:00,2024-02-09 12:10:00-05:00,72171.0
2024-02-09 12:10:00-05:00,2024-02-09 12:15:00-05:00,72175.0
2024-02-09 12:15:00-05:00,2024-02-09 12:20:00-05:00,72102.0
2024-02-09 12:20:00-05:00,2024-02-09 12:25:00-05:00,71860.0
2024-02-09 12:25:00-05:00,2024-02-09 12:30:00-05:00,71709.0
2024-02-09 12:30:00-05:00,2024-02-09 12:35:00-05:00,71877.0
2024-02-09 12:35:00-05:00,2024-02-09 12:40:00-05:00,71645.0
2024-02-09 12:40:00-05:00,2024-02-09 12:45:00-05:00,71528.0
2024-02-09 12:45:00-05:00,2024-02-09 12:50:00-05:00,71535.0
2024-02-09 12:50:00-05:00,2024-02-09 12:55:00-05:00,71727.0
2024-02-09 12:55:00-05:00,2024-02-09 13:00:00-05:00,71657.0
2024-02-09 13:00:00-05:00,2024-02-09 13:05:00-05:00,71465.0
2024-02-09 13:05:00-05:00,2024-02-09 13:10:00-05:00,71176.0
2024-02-09 13:10:00-05:00,2024-02-09 13:15:00-05:00,71263.0
2024-02-09 13:15:00-05:00,2024-02-09 13:20:00-05:00,71315.0
2024-02-09 13:20:00-05:00,2024-02-09 13:25:00-05:00,70967.0
2024-02-09 13:25:00-05:00,2024-02-09 13:30:00-05:00,71098.0
2024-02-09 13:30:00-05:00,2024-02-09 13:35:00-05:00,71216.0
2024-02-09 13:35:00-05:00,2024-02-09 13:40:00-05:00,71369.0
2024-02-09 13:40:00-05:00,2024-02-09 13:45:00-05:00,71424.0
2024-02-09 13:45:00-05:00,2024-02-09 13:50:00-05:00,71442.0
2024-02-09 13:50:00-05:00,2024-02-09 13:55:00-05:00,71548.0
2024-02-09 13:55:00-05:00,2024-02-09 14:00:00-05:00,71249.0
2024-02-09 14:00:00-05:00,2024-02-09 14:05:00-05:00,71202.0
2024-02-09 14:05:00-05:00,2024-02-09 14:10:00-05:00,71068.0
2024-02-09 14:10:00-05:00,2024-02-09 14:15:00-05:00,70967.0
2024-02-09 14:15:00-05:00,2024-02-09 14:20:00-05:00,71219.0
2024-02-09 14:20:00-05:00,2024-02-09 14:25:00-05:00,71060.0
2024-02-09 14:25:00-05:00,2024-02-09 14:30:00-05:00,71041.0
2024-02-09 14:30:00-05:00,2024-02-09 14:35:00-05:00,70755.0
2024-02-09 14:35:00-05:00,2024-02-09 14:40:00-05:00,70890.0
2024-02-09 14:40:00-05:00,2024-02-09 14:45:00-05:00,70804.0
2024-02-09 14:45:00-05:00,2024-02-09 14:50:00-05:00,70918.0
2024-02-09 14:50:00-05:00,2024-02-09 14:55:00-05:00,70737.0
2024-02-09 14:55:00-05:00,2024-02-09 15:00:00-05:00,70765.0
2024-02-09 15:00:00-05:00,2024-02-09 15:05:00-05:00,70492.0
2024-02-09 15:05:00-05:00,2024-02-09 15:10:00-05:00,70299.0
2024-02-09 15:10:00-05:00,2024-02-09 15:15:00-05:00,70290.0
2024-02-09 15:15:00-05:00,2024-02-09 15:20:00-05:00,70404.0
2024-02-09 15:20:00-05:00,2024-02-09 15:25:00-05:00,70442.0
2024-02-09 15:25:00-05:00,2024-02-09 15:30:00-05:00,70560.0
2024-02-09 15:30:00-05:00,2024-02-09 15:35:00-05:00,70476.0
2024-02-09 15:35:00-05:00,2024-02-09 15:40:00-05:00,70306.0
2024-02-09 15:40:00-05:00,2024-02-09 15:45:00-05:00,70522.0
2024-02-09 15:45:00-05:00,2024-02-09 15:50:00-05:00,70505.0
2024-02-09 15:50:00-05:00,2024-02-09 15:55:00-05:00,70178.0
2024-02-09 15:55:00-05:00,2024-02-09 16:00:00-05:00,69874.0
2024-02-09 16:00:00-05:00,2024-02-09 16:05:00-05:00,70034.0
2024-02-09 16:05:00-05:00,2024-02-09 16:10:00-05:00,70082.0
2024-02-09 16:10:00-05:00,2024-02-09 16:15:00-05:00,69864.0
2024-02-09 16:15:00-05:00,2024-02-09 16:20:00-05:00,70008.0
2024-02-09 16:20:00-05:00,2024-02-09 16:25:00-05:00,70044.0
2024-02-09 16:25:00-05:00,2024-02-09 16:30:00-05:00,69974.0
2024-02-09 16:30:00-05:00,2024-02-09 16:35:00-05:00,69876.0
2024-02-09 16:35:00-05:00,2024-02-09 16:40:00-05:00,69863.0
2024-02-09 16:40:00-05:00,2024-02-09 16:45:00-05:00,69903.0
2024-02-09 16:45:00-05:00,2024-02-09 16:50:00-05:00,70174.0
2024-02-09 16:50:00-05:00,2024-02-09 16:55:00-05:00,70239.0
2024-02-09 16:55:00-05:00,2024-02-09 17:00:00-05:00,70329.0
2024-02-09 17:00:00-05:00,2024-02-09 17:05:00-05:00,70402.0
2024-02-09 17:05:00-05:00,2024-02-09 17:10:00-05:00,70426.0
2024-02-09 17:10:00-05:00,2024-02-09 17:15:00-05:00,70446.0
2024-02-09 17:15:00-05:00,2024-02-09 17:20:00-05:00,70538.0
2024-02-09 17:20:00-05:00,2024-02-09 17:25:00-05:00,70452.0
2024-02-09 17:25:00-05:00,2024-02-09 17:30:00-05:00,70789.0
2024-02-09 17:30:00-05:00,2024-02-09 17:35:00-05:00,70940.0
2024-02-09 17:35:00-05:00,2024-02-09 17:40:00-05:00,71272.0
