start,end,node,lmp,mlc,mcc
2020-12-28 00:00:00-05:00,2020-12-28 00:05:00-05:00,ARKANSAS.HUB,18.01,-0.06,1.6
2020-12-28 00:00:00-05:00,2020-12-28 00:05:00-05:00,ILLINOIS.HUB,16.03,-0.4,-0.04
2020-12-28 00:00:00-05:00,2020-12-28 00:05:00-05:00,INDIANA.HUB,16.91,0.44,0.0
2020-12-28 00:00:00-05:00,2020-12-28 00:05:00-05:00,LOUISIANA.HUB,18.75,0.66,1.62
2020-12-28 00:00:00-05:00,2020-12-28 00:05:00-05:00,MICHIGAN.HUB,16.86,0.39,0.0
2020-12-28 00:00:00-05:00,2020-12-28 00:05:00-05:00,MINN.HUB,15.54,-0.93,0.0
2020-12-28 00:00:00-05:00,2020-12-28 00:05:00-05:00,MS.HUB,18.39,0.3,1.62
2020-12-28 00:00:00-05:00,2020-12-28 00:05:00-05:00,TEXAS.HUB,18.5,0.41,1.62
2020-12-28 00:05:00-05:00,2020-12-28 00:10:00-05:00,ARKANSAS.HUB,18.2,-0.04,1.41
2020-12-28 00:05:00-05:00,2020-12-28 00:10:00-05:00,ILLINOIS.HUB,16.38,-0.41,-0.04
2020-12-28 00:05:00-05:00,2020-12-28 00:10:00-05:00,INDIANA.HUB,17.27,0.44,0.0
2020-12-28 00:05:00-05:00,2020-12-28 00:10:00-05:00,LOUISIANA.HUB,18.94,0.69,1.42
2020-12-28 00:05:00-05:00,2020-12-28 00:10:00-05:00,MICHIGAN.HUB,17.22,0.39,0.0
2020-12-28 00:05:00-05:00,2020-12-28 00:10:00-05:00,MINN.HUB,15.85,-0.98,0.0
2020-12-28 00:05:00-05:00,2020-12-28 00:10:00-05:00,MS.HUB,18.57,0.32,1.42
2020-12-28 00:05:00-05:00,2020-12-28 00:10:00-05:00,TEXAS.HUB,18.7,0.45,1.42
2020-12-28 00:10:00-05:00,2020-12-28 00:15:00-05:00,ARKANSAS.HUB,18.49,-0.1,1.18
2020-12-28 00:10:00-05:00,2020-12-28 00:15:00-05:00,ILLINOIS.HUB,16.94,-0.43,-0.04
2020-12-28 00:10:00-05:00,2020-12-28 00:15:00-05:00,INDIANA.HUB,17.82,0.41,0.0
2020-12-28 00:10:00-05:00,2020-12-28 00:15:00-05:00,LOUISIANA.HUB,19.23,0.63,1.19
2020-12-28 00:10:00-05:00,2020-12-28 00:15:00-05:00,MICHIGAN.HUB,17.75,0.34,0.0
2020-12-28 00:10:00-05:00,2020-12-28 00:15:00-05:00,MINN.HUB,16.53,-0.88,0.0
2020-12-28 00:10:00-05:00,2020-12-28 00:15:00-05:00,MS.HUB,18.85,0.25,1.19
2020-12-28 00:10:00-05:00,2020-12-28 00:15:00-05:00,TEXAS.HUB,18.95,0.35,1.19
2020-12-28 00:15:00-05:00,2020-12-28 00:20:00-05:00,ARKANSAS.HUB,17.79,-0.1,0.73
2020-12-28 00:15:00-05:00,2020-12-28 00:20:00-05:00,ILLINOIS.HUB,16.69,-0.43,-0.04
2020-12-28 00:15:00-05:00,2020-12-28 00:20:00-05:00,INDIANA.HUB,17.57,0.41,0.0
2020-12-28 00:15:00-05:00,2020-12-28 00:20:00-05:00,LOUISIANA.HUB,18.51,0.61,0.74
2020-12-28 00:15:00-05:00,2020-12-28 00:20:00-05:00,MICHIGAN.HUB,17.5,0.34,0.0
2020-12-28 00:15:00-05:00,2020-12-28 00:20:00-05:00,MINN.HUB,16.29,-0.87,0.0
2020-12-28 00:15:00-05:00,2020-12-28 00:20:00-05:00,MS.HUB,18.15,0.25,0.74
2020-12-28 00:15:00-05:00,2020-12-28 00:20:00-05:00,TEXAS.HUB,18.24,0.34,0.74
2020-12-28 00:20:00-05:00,2020-12-28 00:25:00-05:00,ARKANSAS.HUB,17.78,-0.12,0.75
2020-12-28 00:20:00-05:00,2020-12-28 00:25:00-05:00,ILLINOIS.HUB,16.7,-0.41,-0.04
2020-12-28 00:20:00-05:00,2020-12-28 00:25:00-05:00,INDIANA.HUB,17.59,0.44,0.0
2020-12-28 00:20:00-05:00,2020-12-28 00:25:00-05:00,LOUISIANA.HUB,18.51,0.6,0.76
2020-12-28 00:20:00-05:00,2020-12-28 00:25:00-05:00,MICHIGAN.HUB,17.57,0.42,0.0
2020-12-28 00:20:00-05:00,2020-12-28 00:25:00-05:00,MINN.HUB,16.22,-0.93,0.0
2020-12-28 00:20:00-05:00,2020-12-28 00:25:00-05:00,MS.HUB,18.15,0.24,0.76
2020-12-28 00:20:00-05:00,2020-12-28 00:25:00-05:00,TEXAS.HUB,18.25,0.34,0.76
