start,end,node,lmp,mlc,mcc
2024-02-09 00:00:00-05:00,2024-02-09 00:05:00-05:00,ARKANSAS.HUB,11.19,-0.25,-0.77
2024-02-09 00:00:00-05:00,2024-02-09 00:05:00-05:00,ILLINOIS.HUB,10.68,-0.41,-1.12
2024-02-09 00:00:00-05:00,2024-02-09 00:05:00-05:00,INDIANA.HUB,11.91,0.5,-0.8
2024-02-09 00:00:00-05:00,2024-02-09 00:05:00-05:00,LOUISIANA.HUB,11.77,0.34,-0.78
2024-02-09 00:00:00-05:00,2024-02-09 00:05:00-05:00,MICHIGAN.HUB,11.65,0.23,-0.79
2024-02-09 00:00:00-05:00,2024-02-09 00:05:00-05:00,MINN.HUB,18.07,-0.57,6.43
2024-02-09 00:00:00-05:00,2024-02-09 00:05:00-05:00,MS.HUB,11.46,0.03,-0.78
2024-02-09 00:00:00-05:00,2024-02-09 00:05:00-05:00,TEXAS.HUB,11.78,0.33,-0.76
2024-02-09 00:05:00-05:00,2024-02-09 00:10:00-05:00,ARKANSAS.HUB,10.11,-0.22,-0.71
2024-02-09 00:05:00-05:00,2024-02-09 00:10:00-05:00,ILLINOIS.HUB,9.67,-0.38,-0.99
2024-02-09 00:05:00-05:00,2024-02-09 00:10:00-05:00,INDIANA.HUB,10.73,0.44,-0.75
2024-02-09 00:05:00-05:00,2024-02-09 00:10:00-05:00,LOUISIANA.HUB,10.63,0.31,-0.72
2024-02-09 00:05:00-05:00,2024-02-09 00:10:00-05:00,MICHIGAN.HUB,10.52,0.2,-0.72
2024-02-09 00:05:00-05:00,2024-02-09 00:10:00-05:00,MINN.HUB,16.55,-0.47,5.98
2024-02-09 00:05:00-05:00,2024-02-09 00:10:00-05:00,MS.HUB,10.34,0.02,-0.72
2024-02-09 00:05:00-05:00,2024-02-09 00:10:00-05:00,TEXAS.HUB,10.64,0.31,-0.71
2024-02-09 00:10:00-05:00,2024-02-09 00:15:00-05:00,ARKANSAS.HUB,11.36,-0.25,-0.77
2024-02-09 00:10:00-05:00,2024-02-09 00:15:00-05:00,ILLINOIS.HUB,10.79,-0.43,-1.16
2024-02-09 00:10:00-05:00,2024-02-09 00:15:00-05:00,INDIANA.HUB,12.08,0.49,-0.79
2024-02-09 00:10:00-05:00,2024-02-09 00:15:00-05:00,LOUISIANA.HUB,11.93,0.33,-0.78
2024-02-09 00:10:00-05:00,2024-02-09 00:15:00-05:00,MICHIGAN.HUB,11.78,0.2,-0.8
2024-02-09 00:10:00-05:00,2024-02-09 00:15:00-05:00,MINN.HUB,18.42,-0.5,6.54
2024-02-09 00:10:00-05:00,2024-02-09 00:15:00-05:00,MS.HUB,11.62,0.03,-0.79
2024-02-09 00:10:00-05:00,2024-02-09 00:15:00-05:00,TEXAS.HUB,11.96,0.35,-0.77
2024-02-09 00:15:00-05:00,2024-02-09 00:20:00-05:00,ARKANSAS.HUB,11.51,-0.27,-0.78
2024-02-09 00:15:00-05:00,2024-02-09 00:20:00-05:00,ILLINOIS.HUB,10.96,-0.43,-1.17
2024-02-09 00:15:00-05:00,2024-02-09 00:20:00-05:00,INDIANA.HUB,12.31,0.51,-0.76
2024-02-09 00:15:00-05:00,2024-02-09 00:20:00-05:00,LOUISIANA.HUB,12.1,0.33,-0.79
2024-02-09 00:15:00-05:00,2024-02-09 00:20:00-05:00,MICHIGAN.HUB,12.0,0.25,-0.81
2024-02-09 00:15:00-05:00,2024-02-09 00:20:00-05:00,MINN.HUB,18.69,-0.5,6.63
2024-02-09 00:15:00-05:00,2024-02-09 00:20:00-05:00,MS.HUB,11.82,0.05,-0.79
2024-02-09 00:15:00-05:00,2024-02-09 00:20:00-05:00,TEXAS.HUB,12.08,0.3,-0.78
2024-02-09 00:20:00-05:00,2024-02-09 00:25:00-05:00,ARKANSAS.HUB,11.64,-0.27,-0.8
2024-02-09 00:20:00-05:00,2024-02-09 00:25:00-05:00,ILLINOIS.HUB,11.09,-0.43,-1.19
2024-02-09 00:20:00-05:00,2024-02-09 00:25:00-05:00,INDIANA.HUB,12.5,0.53,-0.74
2024-02-09 00:20:00-05:00,2024-02-09 00:25:00-05:00,LOUISIANA.HUB,12.29,0.37,-0.79
2024-02-09 00:20:00-05:00,2024-02-09 00:25:00-05:00,MICHIGAN.HUB,12.15,0.25,-0.81
2024-02-09 00:20:00-05:00,2024-02-09 00:25:00-05:00,MINN.HUB,18.88,-0.52,6.69
2024-02-09 00:20:00-05:00,2024-02-09 00:25:00-05:00,MS.HUB,12.0,0.09,-0.8
2024-02-09 00:20:00-05:00,2024-02-09 00:25:00-05:00,TEXAS.HUB,12.26,0.34,-0.79
2024-02-09 00:25:00-05:00,2024-02-09 00:30:00-05:00,ARKANSAS.HUB,23.31,-0.24,11.98
2024-02-09 00:25:00-05:00,2024-02-09 00:30:00-05:00,ILLINOIS.HUB,10.6,-0.4,-0.57
2024-02-09 00:25:00-05:00,2024-02-09 00:30:00-05:00,INDIANA.HUB,11.65,0.48,-0.4
2024-02-09 00:25:00-05:00,2024-02-09 00:30:00-05:00,LOUISIANA.HUB,24.33,0.37,12.39
2024-02-09 00:25:00-05:00,2024-02-09 00:30:00-05:00,MICHIGAN.HUB,11.4,0.22,-0.39
2024-02-09 00:25:00-05:00,2024-02-09 00:30:00-05:00,MINN.HUB,8.94,-0.49,-2.14
2024-02-09 00:25:00-05:00,2024-02-09 00:30:00-05:00,MS.HUB,21.29,0.13,9.59
2024-02-09 00:25:00-05:00,2024-02-09 00:30:00-05:00,TEXAS.HUB,20.05,0.33,8.15
2024-02-09 00:30:00-05:00,2024-02-09 00:35:00-05:00,ARKANSAS.HUB,22.33,-0.25,11.55
2024-02-09 00:30:00-05:00,2024-02-09 00:35:00-05:00,ILLINOIS.HUB,9.53,-0.38,-1.12
2024-02-09 00:30:00-05:00,2024-02-09 00:35:00-05:00,INDIANA.HUB,10.62,0.46,-0.87
2024-02-09 00:30:00-05:00,2024-02-09 00:35:00-05:00,LOUISIANA.HUB,23.33,0.35,11.95
2024-02-09 00:30:00-05:00,2024-02-09 00:35:00-05:00,MICHIGAN.HUB,10.41,0.23,-0.85
2024-02-09 00:30:00-05:00,2024-02-09 00:35:00-05:00,MINN.HUB,11.04,-0.46,0.47
2024-02-09 00:30:00-05:00,2024-02-09 00:35:00-05:00,MS.HUB,20.29,0.11,9.15
2024-02-09 00:30:00-05:00,2024-02-09 00:35:00-05:00,TEXAS.HUB,19.05,0.3,7.72
2024-02-09 00:35:00-05:00,2024-02-09 00:40:00-05:00,ARKANSAS.HUB,14.38,-0.14,9.38
2024-02-09 00:35:00-05:00,2024-02-09 00:40:00-05:00,ILLINOIS.HUB,4.2,-0.17,-0.77
2024-02-09 00:35:00-05:00,2024-02-09 00:40:00-05:00,INDIANA.HUB,4.74,0.21,-0.61
2024-02-09 00:35:00-05:00,2024-02-09 00:40:00-05:00,LOUISIANA.HUB,14.97,0.13,9.7
2024-02-09 00:35:00-05:00,2024-02-09 00:40:00-05:00,MICHIGAN.HUB,4.66,0.11,-0.59
2024-02-09 00:35:00-05:00,2024-02-09 00:40:00-05:00,MINN.HUB,4.79,-0.18,-0.17
2024-02-09 00:35:00-05:00,2024-02-09 00:40:00-05:00,MS.HUB,12.63,0.03,7.46
2024-02-09 00:35:00-05:00,2024-02-09 00:40:00-05:00,TEXAS.HUB,11.52,0.08,6.3
2024-02-09 00:40:00-05:00,2024-02-09 00:45:00-05:00,ARKANSAS.HUB,14.81,-0.29,4.78
2024-02-09 00:40:00-05:00,2024-02-09 00:45:00-05:00,ILLINOIS.HUB,8.37,-0.34,-1.61
2024-02-09 00:40:00-05:00,2024-02-09 00:45:00-05:00,INDIANA.HUB,9.44,0.4,-1.28
2024-02-09 00:40:00-05:00,2024-02-09 00:45:00-05:00,LOUISIANA.HUB,15.46,0.18,4.96
2024-02-09 00:40:00-05:00,2024-02-09 00:45:00-05:00,MICHIGAN.HUB,9.27,0.18,-1.23
2024-02-09 00:40:00-05:00,2024-02-09 00:45:00-05:00,MINN.HUB,15.9,-0.31,5.89
2024-02-09 00:40:00-05:00,2024-02-09 00:45:00-05:00,MS.HUB,13.95,0.02,3.61
2024-02-09 00:40:00-05:00,2024-02-09 00:45:00-05:00,TEXAS.HUB,13.31,0.06,2.93
2024-02-09 00:45:00-05:00,2024-02-09 00:50:00-05:00,ARKANSAS.HUB,13.64,-0.34,2.93
2024-02-09 00:45:00-05:00,2024-02-09 00:50:00-05:00,ILLINOIS.HUB,9.1,-0.36,-1.59
2024-02-09 00:45:00-05:00,2024-02-09 00:50:00-05:00,INDIANA.HUB,10.22,0.42,-1.25
2024-02-09 00:45:00-05:00,2024-02-09 00:50:00-05:00,LOUISIANA.HUB,14.24,0.14,3.05
2024-02-09 00:45:00-05:00,2024-02-09 00:50:00-05:00,MICHIGAN.HUB,10.04,0.18,-1.19
2024-02-09 00:45:00-05:00,2024-02-09 00:50:00-05:00,MINN.HUB,17.37,-0.29,6.61
2024-02-09 00:45:00-05:00,2024-02-09 00:50:00-05:00,MS.HUB,13.17,0.0,2.12
2024-02-09 00:45:00-05:00,2024-02-09 00:50:00-05:00,TEXAS.HUB,12.73,0.01,1.67
2024-02-09 00:50:00-05:00,2024-02-09 00:55:00-05:00,ARKANSAS.HUB,11.46,-0.29,1.53
2024-02-09 00:50:00-05:00,2024-02-09 00:55:00-05:00,ILLINOIS.HUB,8.25,-0.35,-1.62
2024-02-09 00:50:00-05:00,2024-02-09 00:55:00-05:00,INDIANA.HUB,9.31,0.37,-1.28
2024-02-09 00:50:00-05:00,2024-02-09 00:55:00-05:00,LOUISIANA.HUB,11.99,0.17,1.6
2024-02-09 00:50:00-05:00,2024-02-09 00:55:00-05:00,MICHIGAN.HUB,9.16,0.15,-1.21
2024-02-09 00:50:00-05:00,2024-02-09 00:55:00-05:00,MINN.HUB,17.36,-0.28,7.42
2024-02-09 00:50:00-05:00,2024-02-09 00:55:00-05:00,MS.HUB,11.21,0.01,0.98
2024-02-09 00:50:00-05:00,2024-02-09 00:55:00-05:00,TEXAS.HUB,11.0,0.09,0.69
2024-02-09 00:55:00-05:00,2024-02-09 01:00:00-05:00,ARKANSAS.HUB,10.9,-0.27,-0.3
2024-02-09 00:55:00-05:00,2024-02-09 01:00:00-05:00,ILLINOIS.HUB,10.54,-0.39,-0.54
2024-02-09 00:55:00-05:00,2024-02-09 01:00:00-05:00,INDIANA.HUB,11.48,0.43,-0.42
2024-02-09 00:55:00-05:00,2024-02-09 01:00:00-05:00,LOUISIANA.HUB,11.45,0.29,-0.31
2024-02-09 00:55:00-05:00,2024-02-09 01:00:00-05:00,MICHIGAN.HUB,10.99,0.19,-0.67
2024-02-09 00:55:00-05:00,2024-02-09 01:00:00-05:00,MINN.HUB,15.65,-0.43,4.61
2024-02-09 00:55:00-05:00,2024-02-09 01:00:00-05:00,MS.HUB,11.25,0.08,-0.3
2024-02-09 00:55:00-05:00,2024-02-09 01:00:00-05:00,TEXAS.HUB,11.39,0.23,-0.31
2024-02-09 01:00:00-05:00,2024-02-09 01:05:00-05:00,ARKANSAS.HUB,10.96,-0.28,-0.38
2024-02-09 01:00:00-05:00,2024-02-09 01:05:00-05:00,ILLINOIS.HUB,10.57,-0.41,-0.64
2024-02-09 01:00:00-05:00,2024-02-09 01:05:00-05:00,INDIANA.HUB,11.55,0.44,-0.51
2024-02-09 01:00:00-05:00,2024-02-09 01:05:00-05:00,LOUISIANA.HUB,11.54,0.3,-0.38
2024-02-09 01:00:00-05:00,2024-02-09 01:05:00-05:00,MICHIGAN.HUB,11.09,0.23,-0.76
2024-02-09 01:00:00-05:00,2024-02-09 01:05:00-05:00,MINN.HUB,16.35,-0.45,5.18
2024-02-09 01:00:00-05:00,2024-02-09 01:05:00-05:00,MS.HUB,11.32,0.08,-0.38
2024-02-09 01:00:00-05:00,2024-02-09 01:05:00-05:00,TEXAS.HUB,11.47,0.24,-0.39
2024-02-09 01:05:00-05:00,2024-02-09 01:10:00-05:00,ARKANSAS.HUB,11.21,-0.24,-0.03
2024-02-09 01:05:00-05:00,2024-02-09 01:10:00-05:00,ILLINOIS.HUB,10.85,-0.39,-0.24
2024-02-09 01:05:00-05:00,2024-02-09 01:10:00-05:00,INDIANA.HUB,11.72,0.44,-0.2
2024-02-09 01:05:00-05:00,2024-02-09 01:10:00-05:00,LOUISIANA.HUB,11.79,0.34,-0.03
2024-02-09 01:05:00-05:00,2024-02-09 01:10:00-05:00,MICHIGAN.HUB,11.1,0.25,-0.63
2024-02-09 01:05:00-05:00,2024-02-09 01:10:00-05:00,MINN.HUB,14.8,-0.49,3.81
2024-02-09 01:05:00-05:00,2024-02-09 01:10:00-05:00,MS.HUB,11.57,0.11,-0.02
2024-02-09 01:05:00-05:00,2024-02-09 01:10:00-05:00,TEXAS.HUB,11.75,0.32,-0.05
2024-02-09 01:10:00-05:00,2024-02-09 01:15:00-05:00,ARKANSAS.HUB,11.06,-0.23,-0.26
2024-02-09 01:10:00-05:00,2024-02-09 01:15:00-05:00,ILLINOIS.HUB,10.66,-0.39,-0.5
2024-02-09 01:10:00-05:00,2024-02-09 01:15:00-05:00,INDIANA.HUB,11.59,0.43,-0.39
2024-02-09 01:10:00-05:00,2024-02-09 01:15:00-05:00,LOUISIANA.HUB,11.64,0.36,-0.27
2024-02-09 01:10:00-05:00,2024-02-09 01:15:00-05:00,MICHIGAN.HUB,11.15,0.27,-0.67
2024-02-09 01:10:00-05:00,2024-02-09 01:15:00-05:00,MINN.HUB,15.67,-0.48,4.6
2024-02-09 01:10:00-05:00,2024-02-09 01:15:00-05:00,MS.HUB,11.4,0.11,-0.26
2024-02-09 01:10:00-05:00,2024-02-09 01:15:00-05:00,TEXAS.HUB,11.63,0.35,-0.27
2024-02-09 01:15:00-05:00,2024-02-09 01:20:00-05:00,ARKANSAS.HUB,11.3,-0.25,-0.32
2024-02-09 01:15:00-05:00,2024-02-09 01:20:00-05:00,ILLINOIS.HUB,10.91,-0.39,-0.57
2024-02-09 01:15:00-05:00,2024-02-09 01:20:00-05:00,INDIANA.HUB,11.87,0.43,-0.43
2024-02-09 01:15:00-05:00,2024-02-09 01:20:00-05:00,LOUISIANA.HUB,11.88,0.33,-0.32
